method,num_students,overload_ratio,success_rate_pct,urgent_success_pct,normal_success_pct,fairness_index,capacity_util_pct,processing_time_ms
FIFO,5000,1.00,91.1200,89.1114,91.5020,0.999825,93.7449,2.728
Rule-based,5000,1.00,91.1200,96.1202,90.1690,0.998981,93.7449,2.911
TOPSIS,5000,1.00,91.1200,100.0000,89.4311,0.996897,93.7449,4.639
Hybrid,5000,1.00,93.6800,100.0000,92.4780,0.998475,96.3786,69.231
FIFO,5000,1.50,64.5400,61.3267,65.1512,0.999086,99.5988,2.619
Rule-based,5000,1.50,64.5400,76.3454,62.2947,0.989833,99.5988,2.391
TOPSIS,5000,1.50,64.5400,100.0000,57.7958,0.933240,99.5988,4.740
Hybrid,5000,1.50,64.7800,100.0000,58.0814,0.934304,99.9691,37.906
FIFO,5000,2.00,46.7800,42.5532,47.5839,0.996895,99.9573,2.694
Rule-based,5000,2.00,46.7800,62.7034,43.7515,0.969280,99.9573,2.917
TOPSIS,5000,2.00,46.7800,100.0000,36.6579,0.823154,99.9573,4.104
Hybrid,5000,2.00,46.8000,100.0000,36.6817,0.823314,100.0000,26.240
FIFO,5000,5.00,18.0000,15.8949,18.4004,0.994691,100.0000,3.575
Rule-based,5000,5.00,18.0000,33.7922,14.9964,0.870764,100.0000,2.347
TOPSIS,5000,5.00,18.0000,85.3567,5.1892,0.560571,100.0000,3.408
Hybrid,5000,5.00,18.0000,93.1164,3.7134,0.539816,100.0000,17.175
